rec,presence,site,year,month,day,hour,minute,species,songtype
20200312_210000.flac,1,Yat1,2020,3,12,21,0,sp44,Nocturnal Song
20200312_213000.flac,1,Yat1,2020,3,12,21,30,sp44,Nocturnal Song
20200312_220000.flac,0,Yat1,2020,3,12,22,0,sp44,Nocturnal Song
20200312_223000.flac,1,Yat1,2020,3,12,22,30,sp44,Nocturnal Song
20200312_230000.flac,0,Yat1,2020,3,12,23,0,sp44,Nocturnal Song
20200312_233000.flac,0,Yat1,2020,3,12,23,30,sp44,Nocturnal Song
20200313_180000.flac,0,Yat1,2020,3,13,18,0,sp44,Nocturnal Song
20200313_183000.flac,0,Yat1,2020,3,13,18,30,sp44,Nocturnal Song
20200313_190000.flac,0,Yat1,2020,3,13,19,0,sp44,Nocturnal Song
20200313_193000.flac,1,Yat1,2020,3,13,19,30,sp44,Nocturnal Song
20200313_200000.flac,0,Yat1,2020,3,13,20,0,sp44,Nocturnal Song
20200313_203000.flac,0,Yat1,2020,3,13,20,30,sp44,Nocturnal Song
20200313_210000.flac,0,Yat1,2020,3,13,21,0,sp44,Nocturnal Song
20200313_213000.flac,0,Yat1,2020,3,13,21,30,sp44,Nocturnal Song
20200313_220000.flac,0,Yat1,2020,3,13,22,0,sp44,Nocturnal Song
20200313_223000.flac,0,Yat1,2020,3,13,22,30,sp44,Nocturnal Song
20200313_230000.flac,0,Yat1,2020,3,13,23,0,sp44,Nocturnal Song
20200313_233000.flac,0,Yat1,2020,3,13,23,30,sp44,Nocturnal Song
20200314_180000.flac,0,Yat1,2020,3,14,18,0,sp44,Nocturnal Song
20200314_183000.flac,1,Yat1,2020,3,14,18,30,sp44,Nocturnal Song
20200314_190000.flac,1,Yat1,2020,3,14,19,0,sp44,Nocturnal Song
20200314_193000.flac,1,Yat1,2020,3,14,19,30,sp44,Nocturnal Song
20200314_200000.flac,1,Yat1,2020,3,14,20,0,sp44,Nocturnal Song
20200314_213000.flac,1,Yat1,2020,3,14,21,30,sp44,Nocturnal Song
20200314_220000.flac,0,Yat1,2020,3,14,22,0,sp44,Nocturnal Song
20200314_223000.flac,0,Yat1,2020,3,14,22,30,sp44,Nocturnal Song
20200314_230000.flac,0,Yat1,2020,3,14,23,0,sp44,Nocturnal Song
20200314_233000.flac,0,Yat1,2020,3,14,23,30,sp44,Nocturnal Song
20200314_203000.flac,1,Yat1,2020,3,14,20,30,sp44,Nocturnal Song
20200314_210000.flac,0,Yat1,2020,3,14,21,0,sp44,Nocturnal Song
20200315_180000.flac,0,Yat1,2020,3,15,18,0,sp44,Nocturnal Song
20200315_183000.flac,0,Yat1,2020,3,15,18,30,sp44,Nocturnal Song
