id,recording,site,year,month,day,hour,min,species,songtype,validated
84962285,20201011_200000.flac,Yat1,2020,10,11,20,0,sp46,Common Song,present
84962286,20200327_010000.flac,Yat1,2020,3,27,1,0,sp46,Common Song,present
84962290,20200619_140000.flac,Yat1,2020,6,19,14,0,sp46,Common Song,not present
84962298,20200629_000000.flac,Yat1,2020,6,29,0,0,sp46,Common Song,present
84962306,20200823_000000.flac,Yat1,2020,8,23,0,0,sp46,Common Song,present
84962322,20201011_203000.flac,Yat1,2020,10,11,20,30,sp46,Common Song,present
84962325,20200414_193000.flac,Yat1,2020,4,14,19,30,sp46,Common Song,present
84962326,20200327_013000.flac,Yat1,2020,3,27,1,30,sp46,Common Song,present
84962333,20200629_003000.flac,Yat1,2020,6,29,0,30,sp46,Common Song,present
84962357,20201011_210000.flac,Yat1,2020,10,11,21,0,sp46,Common Song,present
84962359,20200414_200000.flac,Yat1,2020,4,14,20,0,sp46,Common Song,present
84962383,20201011_213000.flac,Yat1,2020,10,11,21,30,sp46,Common Song,present
84962385,20200427_073000.flac,Yat1,2020,4,27,7,30,sp46,Common Song,not present
84962388,20200414_203000.flac,Yat1,2020,4,14,20,30,sp46,Common Song,present
84962393,20200816_180000.flac,Yat1,2020,8,16,18,0,sp46,Common Song,not present
84962411,20200728_233000.flac,Yat1,2020,7,28,23,30,sp46,Common Song,present
84962414,20201011_220000.flac,Yat1,2020,10,11,22,0,sp46,Common Song,present
84962416,20200414_210000.flac,Yat1,2020,4,14,21,0,sp46,Common Song,present
84962418,20200629_020000.flac,Yat1,2020,6,29,2,0,sp46,Common Song,present
84962429,20200816_183000.flac,Yat1,2020,8,16,18,30,sp46,Common Song,present
84962444,20201011_223000.flac,Yat1,2020,10,11,22,30,sp46,Common Song,present
84962449,20200624_053000.flac,Yat1,2020,6,24,5,30,sp46,Common Song,not present
84962455,20200414_213000.flac,Yat1,2020,4,14,21,30,sp46,Common Song,present
84962459,20200629_023000.flac,Yat1,2020,6,29,2,30,sp46,Common Song,present
84962465,20200816_190000.flac,Yat1,2020,8,16,19,0,sp46,Common Song,present
84962477,20201011_230000.flac,Yat1,2020,10,11,23,0,sp46,Common Song,present
84962487,20200414_220000.flac,Yat1,2020,4,14,22,0,sp46,Common Song,present
84962499,20200722_193000.flac,Yat1,2020,7,22,19,30,sp46,Common Song,present
84962512,20201011_233000.flac,Yat1,2020,10,11,23,30,sp46,Common Song,present
84962517,20200301_000000.flac,Yat1,2020,3,1,0,0,sp46,Common Song,present
84962520,20200414_223000.flac,Yat1,2020,4,14,22,30,sp46,Common Song,present
84962523,20200816_200000.flac,Yat1,2020,8,16,20,0,sp46,Common Song,present
84962538,20200624_070000.flac,Yat1,2020,6,24,7,0,sp46,Common Song,not present
84962542,20200722_200000.flac,Yat1,2020,7,22,20,0,sp46,Common Song,present
84962544,20201012_000000.flac,Yat1,2020,10,12,0,0,sp46,Common Song,present
84962553,20201005_173000.flac,Yat1,2020,10,5,17,30,sp46,Common Song,not present
84962554,20200414_230000.flac,Yat1,2020,4,14,23,0,sp46,Common Song,present
84962560,20200301_003000.flac,Yat1,2020,3,1,0,30,sp46,Common Song,present
84962563,20200816_203000.flac,Yat1,2020,8,16,20,30,sp46,Common Song,present
84962567,20200408_183000.flac,Yat1,2020,4,8,18,30,sp46,Common Song,present
84962574,20200624_073000.flac,Yat1,2020,6,24,7,30,sp46,Common Song,not present
84962577,20200823_043000.flac,Yat1,2020,8,23,4,30,sp46,Common Song,not present
84962583,20200619_190000.flac,Yat1,2020,6,19,19,0,sp46,Common Song,present
84962587,20201012_003000.flac,Yat1,2020,10,12,0,30,sp46,Common Song,present
84962591,20200414_233000.flac,Yat1,2020,4,14,23,30,sp46,Common Song,present
84962595,20200816_210000.flac,Yat1,2020,8,16,21,0,sp46,Common Song,present
84962596,20200301_010000.flac,Yat1,2020,3,1,1,0,sp46,Common Song,present
84962616,20201012_010000.flac,Yat1,2020,10,12,1,0,sp46,Common Song,present
84962619,20200619_193000.flac,Yat1,2020,6,19,19,30,sp46,Common Song,present
84962621,20201005_183000.flac,Yat1,2020,10,5,18,30,sp46,Common Song,present
84962648,20201012_013000.flac,Yat1,2020,10,12,1,30,sp46,Common Song,present
84962651,20200619_200000.flac,Yat1,2020,6,19,20,0,sp46,Common Song,present
84962652,20200301_020000.flac,Yat1,2020,3,1,2,0,sp46,Common Song,present
84962659,20201005_190000.flac,Yat1,2020,10,5,19,0,sp46,Common Song,present
84962667,20200307_190000.flac,Yat1,2020,3,7,19,0,sp46,Common Song,present
84962669,20200629_060000.flac,Yat1,2020,6,29,6,0,sp46,Common Song,not present
84962670,20200722_220000.flac,Yat1,2020,7,22,22,0,sp46,Common Song,present
84962684,20200619_203000.flac,Yat1,2020,6,19,20,30,sp46,Common Song,present
84962687,20200415_000000.flac,Yat1,2020,4,15,0,0,sp46,Common Song,present
84962695,20200307_193000.flac,Yat1,2020,3,7,19,30,sp46,Common Song,present
84962710,20200624_123000.flac,Yat1,2020,6,24,12,30,sp46,Common Song,not present
84962715,20200619_210000.flac,Yat1,2020,6,19,21,0,sp46,Common Song,present
84962719,20201005_200000.flac,Yat1,2020,10,5,20,0,sp46,Common Song,present
84962724,20200722_230000.flac,Yat1,2020,7,22,23,0,sp46,Common Song,present
84962754,20200722_233000.flac,Yat1,2020,7,22,23,30,sp46,Common Song,present
84962767,20200307_233000.flac,Yat1,2020,3,7,23,30,sp46,Common Song,present
84962768,20200619_220000.flac,Yat1,2020,6,19,22,0,sp46,Common Song,present
84962773,20201005_210000.flac,Yat1,2020,10,5,21,0,sp46,Common Song,present
84962795,20201005_213000.flac,Yat1,2020,10,5,21,30,sp46,Common Song,present
84962800,20200619_223000.flac,Yat1,2020,6,19,22,30,sp46,Common Song,present
84962805,20200708_180000.flac,Yat1,2020,7,8,18,0,sp46,Common Song,not present
84962808,20200729_060000.flac,Yat1,2020,7,29,6,0,sp46,Common Song,not present
84962811,20200321_060000.flac,Yat1,2020,3,21,6,0,sp46,Common Song,not present
84962829,20201005_220000.flac,Yat1,2020,10,5,22,0,sp46,Common Song,present
84962831,20200308_003000.flac,Yat1,2020,3,8,0,30,sp46,Common Song,present
84962836,20200619_230000.flac,Yat1,2020,6,19,23,0,sp46,Common Song,present
84962838,20200729_063000.flac,Yat1,2020,7,29,6,30,sp46,Common Song,not present
84962849,20200723_010000.flac,Yat1,2020,7,23,1,0,sp46,Common Song,present
